route_id,day,drive_hours,work_hours,crew_size,need_boston,need_events,need_elite,distance_mi
R076,Sat,4.75,3.25,2,0,0,0,60
R077,Sat,5.0,3.25,3,0,0,0,15
R078,Sat,5.0,3.25,3,0,0,0,45
R079,Sat,4.25,3.0,2,0,0,0,15
R080,Sat,4.75,3.25,2,0,1,0,15
R081,Sat,4.75,3.25,3,0,0,0,45
R082,Sat,4.75,3.25,2,0,0,0,15
R083,Sat,4.75,3.25,2,1,0,0,15
R084,Sat,4.25,3.0,2,0,0,0,30
R085,Sat,5.0,3.5,2,0,0,0,15
R086,Sat,4.75,3.25,3,0,0,0,30
R087,Sat,5.0,3.5,2,0,0,0,30
R088,Sat,5.0,3.25,2,0,0,0,30
R089,Sat,4.75,3.0,2,0,0,0,30
R090,Sat,5.0,3.25,2,0,0,0,15
R091,Sat,5.0,3.25,2,0,0,1,15
R092,Sat,4.75,3.25,2,0,0,0,15
R093,Sat,4.25,3.0,2,1,0,0,15
R094,Sat,4.75,3.0,3,0,0,0,30
R095,Mon,4.0,2.75,2,0,0,0,15
R096,Mon,4.25,3.0,2,0,0,0,45
R097,Mon,4.5,3.0,2,0,0,0,30
R098,Mon,4.25,2.75,2,0,0,0,45
R099,Mon,4.25,3.0,2,0,0,0,60
R100,Mon,3.75,2.5,2,0,0,0,15
R101,Mon,4.25,2.75,2,1,0,0,15
R102,Mon,3.75,2.5,2,0,1,0,15
R103,Mon,4.25,2.75,2,0,0,0,15
R104,Mon,3.75,2.5,2,0,0,0,30
R105,Mon,4.0,2.75,2,0,0,0,45
R106,Mon,3.75,2.5,2,0,0,0,15
R107,Mon,4.25,2.75,2,0,0,0,60
R108,Mon,4.75,3.0,2,0,0,0,15
R109,Mon,4.0,2.5,2,0,0,0,45
R110,Mon,4.0,2.75,2,0,0,0,15
R111,Tue,4.0,2.5,2,0,0,0,45
R112,Tue,4.0,2.5,2,0,0,0,15
R113,Tue,4.75,3.0,2,0,0,0,60
R114,Tue,4.0,2.75,2,0,0,0,45
R115,Tue,4.25,2.75,2,0,0,0,60
R116,Tue,4.0,2.75,2,0,0,0,30
R117,Tue,4.0,2.75,2,0,0,0,15
R118,Tue,4.25,2.75,2,0,0,0,60
R119,Tue,4.25,2.75,2,0,0,0,30
R120,Tue,3.75,2.5,2,0,0,0,15
R121,Tue,4.25,3.0,2,0,0,0,30
R122,Tue,4.0,2.75,2,0,0,0,30
R123,Tue,4.25,2.75,2,0,0,0,30
R124,Tue,3.75,2.5,2,0,0,0,15
R125,Tue,4.0,2.75,2,0,0,0,15
R126,Wed,4.75,3.0,2,0,0,0,30
R127,Wed,4.5,3.0,2,0,0,0,30
R128,Wed,4.5,3.0,2,1,0,0,15
R129,Wed,4.75,3.0,2,0,0,0,30
R130,Wed,4.0,2.75,2,0,0,0,45
R131,Wed,4.25,2.75,2,0,0,0,45
R132,Wed,4.0,2.75,2,0,0,0,30
R133,Wed,4.25,2.75,2,0,0,0,15
R134,Wed,4.0,2.75,2,0,0,0,15
R135,Wed,4.25,2.75,2,0,0,0,15
R136,Wed,4.25,2.75,2,0,0,0,15
R137,Wed,4.25,2.75,2,1,0,0,30
R138,Wed,4.0,2.5,2,0,0,0,15
R139,Wed,4.0,2.5,2,0,0,0,45
R140,Wed,4.25,3.0,2,1,0,0,45
